CHILCA JULIANA;861686259;861686259;-28,796459;-63,579125;SALAVINA;SANTIAGO DEL ESTERO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>861686259</Literal></PropertyIsEqualTo></Filter>;Comision Municipal;;;;539;;539;148;0;0;141;149;140;0;144;5;6;1;16;6
MALARGUE;500770077;500770077;-35,477011;-69,588649;MALARGUE;MENDOZA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>500770077</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;27660;;27660;6660;138;5632;6978;7820;7265;1513;7090;730;1033;303;1100;430
ESTANCIA DE GUADALUPE;140702371;140702371;-31,12421;-65,2269;MINAS;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140702371</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;522;;522;43;0;0;122;167;124;35;165;2;9;7;49;7
CORREA;820562903;820562903;-32,849461;-61,254557;IRIONDO;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820562903</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;6020;;6020;1845;830;1206;1890;1926;1882;339;1851;75;93;18;93;39
EL CHALTEN;780280074;780285028;-49,331973;-72,891627;LAGO ARGENTINO;SANTA CRUZ;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>780285028</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;1627;;1627;479;381;411;420;481;459;154;437;44;103;59;78;18
COLON;061750175;061750175;-33,897863;-61,099561;COLON;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>061750175</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;24890;;24890;7112;5058;4385;6898;8191;8124;1490;7926;265;328;63;312;176
BENITO JUAREZ;060840084;060840084;-37,676641;-59,805768;BENITO JUAREZ;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>060840084</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;20239;;20239;6129;3606;5298;6786;6786;6719;1024;6638;148;221;73;223;83
LOS CONQUISTADORES;300280115;300280115;-30,594407;-58,468263;FEDERACION;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300280115</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;1287;;1287;315;86;0;340;348;342;92;338;10;29;19;56;33
GANCEDO;220360091;220360091;-27,489649;-61,673877;12 DE OCTUBRE;CHACO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>220360091</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;4711;;4711;406;0;0;1151;1257;1114;345;1179;78;344;266;393;91
LABORDE;141821666;141821666;-33,152989;-62,856074;UNION;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>141821666</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;5957;;5957;2097;21;1441;2033;2129;2100;254;2037;92;105;13;89;38
GENERAL GALARZA;300490168;300490168;-32,721271;-59,395889;GUALEGUAY;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300490168</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;4896;;4896;1541;1431;313;1520;1585;1582;142;1556;29;40;11;51;32
LA CALDERA;660770189;660770189;-24,604949;-65,382338;LA CALDERA;SALTA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>660770189</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;2769;;2769;601;0;2;583;759;672;192;664;95;150;55;146;49
FRAY MAMERTO ESQUIU;100630161;100630161;-28,388732;-65,70627;FRAY MAMERTO ESQUIU;CATAMARCA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>100630161</Literal></PropertyIsEqualTo></Filter>;Municipio de Primera;;;;11896;;11896;2995;206;312;2783;3019;2926;373;2844;175;223;48;270;150
OLAVARRIA;065950595;065950595;-36,892094;-60,318005;OLAVARRIA;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>065950595</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;111708;;111708;27528;15932;30443;33825;36865;36667;4496;35843;1022;1280;258;1218;766
COLONIA ITURRASPE;820212182;820212182;-31,47882;-61,62158;CASTELLANOS;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820212182</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;23;;23;0;0;0;0;5;3;0;5;0;0;0;2;0
AREQUITO;820142028;820142028;-33,148301;-61,471335;CASEROS;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820142028</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;6836;;6836;2208;915;1644;783;2339;2327;184;2251;88;100;12;67;39
SANTA VICTORIA OESTE;661610413;661610413;-22,229462;-64,950326;SANTA VICTORIA;SALTA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>661610413</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;5323;;5323;357;169;0;1233;1272;1096;206;1209;63;517;454;316;105
RIO PIEDRAS;661120280;661120280;-25,321182;-64,917329;METAN;SALTA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>661120280</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;2007;;2007;417;3;1;79;477;426;195;453;24;116;92;166;49
SAN RAMIREZ;300709495;300709495;-30,463414;-59,340858;LA PAZ;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300709495</Literal></PropertyIsEqualTo></Filter>;Junta de Gobierno III;;;;201;;201;19;0;0;32;51;48;23;51;0;7;7;6;4
PUELCHES;420420280;420420280;-38,143772;-65,910279;CURACO;LA PAMPA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>420420280</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;560;;560;156;0;0;205;214;207;56;209;5;15;10;18;6
GENERAL LAGOS;820843407;820843407;-33,112159;-60,566574;ROSARIO;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820843407</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;4112;;4112;1030;845;565;819;1162;1147;165;1060;102;129;27;82;49
CORZUELA;220490133;220490133;-26,955676;-60,970757;GENERAL BELGRANO;CHACO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>220490133</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;11988;;11988;1047;0;0;2923;3078;2683;812;2931;147;289;142;769;197
LAS AGUADAS;740636294;740636294;-32,376358;-65,501204;LIBERTADOR GENERAL SAN MARTÍN;SAN LUIS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>740636294</Literal></PropertyIsEqualTo></Filter>;Comisionado Municipal;;;;100;;100;19;0;0;21;30;29;0;29;1;2;1;9;6
CAÑADON SECO;780145007;780145007;-46,558846;-67,616856;DESEADO;SANTA CRUZ;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>780145007</Literal></PropertyIsEqualTo></Filter>;Comision de Fomento;;;;879;;879;248;233;249;228;251;249;86;243;8;15;7;8;2
SANAGASTA;461260126;461260126;-29,306449;-67,04141;SANAGASTA;LA RIOJA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>461260126</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;2345;;2345;594;0;0;275;622;589;68;604;18;73;55;115;29
ALMIRANTE BROWN;060280028;060280028;-34,801558;-58,391468;ALMIRANTE BROWN;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>060280028</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;552902;;552902;77731;25087;101579;156918;156918;152815;24265;142614;14304;21632;7328;16423;6864
BELL VILLE;141821610;141821610;-32,62856;-62,689115;UNION;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>141821610</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;34439;;34439;11168;7821;8435;8545;11290;11090;1066;10976;314;425;111;553;305
CALETA OLIVIA;780140021;780140021;-46,445949;-67,525156;DESEADO;SANTA CRUZ;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>780140021</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;51733;;51733;15458;14350;15147;15123;15553;15266;1730;14297;1256;1788;532;1477;697
NUEVA VIZCAYA;300352308;300359215;-30,968515;-58,612748;FEDERAL;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300359215</Literal></PropertyIsEqualTo></Filter>;Comuna Categoría 1;;;;681;;681;98;81;3;186;205;196;94;205;0;12;12;30;15
JOSE C PAZ;064120412;064120412;-34,521161;-58,770881;JOSE C PAZ;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>064120412</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;265981;;265981;12407;4272;29402;67914;71722;70046;13455;65708;6014;9382;3368;8610;4215
GARZA;861826287;861826287;-28,152958;-63,534516;SARMIENTO;SANTIAGO DEL ESTERO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>861826287</Literal></PropertyIsEqualTo></Filter>;Comision Municipal;;;;2584;;2584;548;0;0;572;606;557;111;597;9;60;51;125;72
ROJAS;066860686;066860686;-34,187229;-60,717941;ROJAS;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>066860686</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;23432;;23432;7336;5365;4146;8010;8010;7939;1036;7717;293;400;107;290;143
PINTO;860070007;860070007;-29,144644;-62,6542;AGUIRRE;SANTIAGO DEL ESTERO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>860070007</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;4678;;4678;1148;0;0;1246;1262;1208;199;1217;45;84;39;174;85
AMBOY;140072007;140072007;-32,175917;-64,576548;CALAMUCHITA;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140072007</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;228;;228;67;2;0;67;79;76;21;77;2;10;8;9;0
AREA SIN GOBIERNO;780420000;780420000;-49,064224243;-68,324668884;MAGALLANES;SANTA CRUZ;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>780420000</Literal></PropertyIsEqualTo></Filter>;;;;;;;;;;;;;;;;;;;;
SUARDI;820910235;820913666;-30,536145;-61,961681;SAN CRISTOBAL;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820913666</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;6933;;6933;64;696;0;2125;2172;2110;345;2040;132;158;26;116;45
HUACALERA;380946175;380946175;-23,434164;-65,351334;TILCARA;JUJUY;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>380946175</Literal></PropertyIsEqualTo></Filter>;Comision Municipal;;;;2064;;2064;396;7;0;422;610;530;151;555;55;347;292;144;50
LA TOMA;740210042;740210042;-33,054438;-65,622698;CORONEL PRINGLES;SAN LUIS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>740210042</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;7374;;7374;2234;51;1117;2153;2235;2211;291;2114;121;145;24;111;55
MAQUINCHAO;620910266;620910266;-41,247517;-68,700341;25 DE MAYO;RÍO NEGRO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;goblocalsur;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>620910266</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;2494;;2494;691;11;317;622;694;675;116;683;11;27;16;59;26
GENERAL BELGRANO;063010301;063010301;-35,769458;-58,494462;GENERAL BELGRANO;BUENOS AIRES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>063010301</Literal></PropertyIsEqualTo></Filter>;Municipio/Partido;;;;17365;;17365;4428;1800;3343;5709;6008;5977;952;5879;129;267;138;218;128
LAVALLE;180910203;180910203;-29,024981;-59,181857;LAVALLE;CORRIENTES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>180910203</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;5509;;5509;1025;219;0;1381;1396;1106;611;1374;22;506;484;496;165
ENRIQUE URIEN;220980315;220980315;-27,558725;-60,525991;MAYOR LUIS J FONTANA;CHACO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>220980315</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;1098;;1098;44;28;0;284;292;253;165;229;63;82;19;66;22
SANTA CLARA DE BUENA VISTA;820703239;820703239;-31,765796;-61,321024;LAS COLONIAS;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820703239</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;3104;;3104;542;11;0;794;1009;998;249;988;21;28;7;47;24
AREA SIN GOBIERNO;141120000;141120000;-29,8135599;-63,75524;RIO SECO;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>141120000</Literal></PropertyIsEqualTo></Filter>;;;;;;;;;;;;;;;;;;;;
GARUHAPE;540770308;540770308;-26,818683;-54,957612;LIBERTADOR GENERAL SAN MARTÍN;MISIONES;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>540770308</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;9355;;9355;1591;23;0;2322;2359;2106;708;2325;34;284;250;544;169
SALSACATE;140770609;140770609;-31,315162;-65,091026;POCHO;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140770609</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;1728;;1728;494;0;0;531;565;548;102;551;14;29;15;45;19
AREA SIN GOBIERNO;141820000;141820000;-33,4792553;-62,9564065;UNION;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>141820000</Literal></PropertyIsEqualTo></Filter>;;;;;;;;;;;;;;;;;;;;
LUCA;140420322;140420322;-32,540198;-63,476254;GENERAL SAN MARTIN;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140420322</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;563;;563;155;3;79;170;176;170;0;172;4;5;1;10;5
ENRIQUE CARBO;300560184;300560184;-33,147848;-59,20894;GUALEGUAYCHU;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300560184</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;1193;;1193;232;0;1;336;377;369;125;370;7;33;26;37;11
EL CARMEN - ESTACION RACEDO;300212161;300219115;-31,984016;-60,408391;DIAMANTE;ENTRE RÍOS;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>300219115</Literal></PropertyIsEqualTo></Filter>;Comuna Categoría 1;;;;648;;648;156;71;0;142;202;199;45;200;2;6;4;10;4
TUMBAYA;380986196;380986196;-23,852303;-65,467255;TUMBAYA;JUJUY;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>380986196</Literal></PropertyIsEqualTo></Filter>;Comision Municipal;;;;741;;741;141;1;0;208;222;184;64;209;13;30;17;50;11
LEONES;140630567;140630567;-32,658391;-62,299915;MARCOS JUAREZ;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140630567</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;10529;;10529;3543;1820;2651;928;3579;3542;258;3497;82;99;17;109;54
MIRAFLORES;220630189;220630189;-25,648933;-60,93004;GENERAL GUEMES;CHACO;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>220630189</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;9141;;9141;389;9;0;1938;2344;1741;501;2242;102;602;500;897;335
COLONIA TIROLESA;140210098;140210098;-31,235786;-64,067254;COLON;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>140210098</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;5342;;5342;1231;24;6;1229;1465;1403;336;1376;89;132;43;175;92
LAS AVISPAS;820913589;820913589;-29,895313;-61,291199;SAN CRISTOBAL;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820913589</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;206;;206;0;0;0;66;68;68;0;65;3;4;1;5;4
LABORDEBOY;820422665;820422665;-33,719653;-61,314921;GENERAL LOPEZ;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820422665</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;1011;;1011;319;0;0;317;376;376;0;365;11;13;2;13;8
GENERAL GELLY;820282448;820282448;-33,601843;-60,598938;CONSTITUCION;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>820282448</Literal></PropertyIsEqualTo></Filter>;Comuna;;;;702;;702;217;0;0;231;263;260;0;258;5;7;2;7;2
EL TREBOL;821260308;821260308;-32,203024;-61,702894;SAN MARTIN;SANTA FE;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>821260308</Literal></PropertyIsEqualTo></Filter>;Municipio de Segunda;;;;11523;;11523;2410;2393;2398;3094;3917;3880;481;3777;140;171;31;153;81
EL JARDIN;660840203;660840203;-26,093883;-65,413842;LA CANDELARIA;SALTA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_norte;<Filter><PropertyIsEqualTo><PropertyName>codigo_de_</PropertyName><Literal>660840203</Literal></PropertyIsEqualTo></Filter>;Municipio de Tercera;;;;1938;;1938;285;2;0;299;509;467;220;474;35;122;87;100;50
LOZADA;141471386;141471386;-31,648455;-64,08998;SANTA MARÍA;CÓRDOBA;https://gis.obraspublicas.gob.ar/layers/public_wxs/;ejidos_gob_locales_centro;<Filter><PropertyIsEqualTo><PropertyName>cod_gl</PropertyName><Literal>141471386</Literal></PropertyIsEqualTo></Filter>;Municipio;;;;1041;;1041;293;0;0;240;318;312;0;309;9;9;0;12;5
